artist,album
Accept,Balls to the Wall
Acid Bath,When the Kite String Pops
Ada Milea,Gulliver
Ada Milea,Alice
Alter Bridge,AB III
Alternosfera,Epizodia
Amon Amarth,Twilight of the Thunder God
Aphex Twin,Selected Ambient Works Volume II
Apocalyptica,Cult
Architects,All Our Gods Have Abandoned Us
Architects,For Those That Wish to Exist
Audioslave,Audioslave
Avantasia,The Metal Opera
Avenged Sevenfold,Nightmare
Battle Beast,Bringer of Pain
Billie Eilish,WHEN WE ALL FALL ASLEEP WHERE DO WE GO
Billy Talent,Billy Talent II
Blind Guardian,Nightfall in Middle-Earth
Boards of Canada,Music Has the Right to Children
Bring Me the Horizon,Sempiternal
Bring Me the Horizon,POST HUMAN SURVIVAL HORROR
Bucovina,Duh
Burial,Untrue
Cargo,Ziua Vrăjitoarelor
Cedry2k,Clipa Schimbării
Chris Cornell,Euphoria Morning
Clay J Gladstone,Dead Friends
Clay J Gladstone,Is This How I Die
Coheed and Cambria,Good Apollo IV
Cradle of Filth,Nymphetamine
Creedence Clearwater Revival,Cosmos Factory
Cyndi Lauper,Shes So Unusual
Daft Punk,Random Access Memories
Dark Sarah,The Puzzle
Dark Tranquillity,Fiction
Dead Can Dance,Anastasis
Death,Symbolic
Deep Purple,Machine Head
Delain,Moonbathers
Depeche Mode,Violator
Depeche Mode,Music for the Masses
Depeche Mode,Black Celebration
Dio,Holy Diver
Dire Straits,Brothers in Arms
Disturbed,Ten Thousand Fists
Dream Theater,Images and Words
Eagles,Hotel California
Eluveitie,Helvetios
Eminem,The Marshall Mathers LP
Epica,The Quantum Enigma B-Sides
Evanescence,Fallen
Fall Out Boy,Folie a Deux
Falling in Reverse,Popular Monster
Fish in a Birdcage,Fish in a Birdcage
Fit for a King,The Path
Fit for an Autopsy,Oh What the Future Holds
Five Finger Death Punch,The Wrong Side of Heaven and the Righteous Side of Hell Volume 1
Florin Chilian,Iubi
Foreigner,4
Frank Ocean,Blonde
Frankie Goes to Hollywood,Welcome to the Pleasuredome
From Ashes to New,The Future
